customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,num_addons,is_new_customer,has_internet,tenure_group
SYNTH_B3_000,Male,0,No,No,26,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,101.3,3914.88,No,1,0,1,25-48
SYNTH_B3_001,Female,1,Yes,No,49,No,No,No,Yes,No,No,No,No,Yes,Two year,No,Credit card (automatic),73.13,4035.19,Yes,2,0,0,49-72
SYNTH_B3_002,Male,1,No,No,0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,118.75,2108.18,Yes,3,1,1,0-12
SYNTH_B3_003,Female,0,No,No,52,No,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,71.55,3995.54,No,4,0,1,49-72
SYNTH_B3_004,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,88.05,294.47,No,0,1,1,0-12
SYNTH_B3_005,Male,0,Yes,No,14,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,117.55,4620.09,Yes,2,0,1,13-24
SYNTH_B3_006,Male,0,No,No,11,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,112.32,1371.52,No,3,1,1,0-12
SYNTH_B3_007,Male,1,No,No,19,Yes,Yes,No,No internet service,Yes,No,No internet service,No,No internet service,One year,Yes,Bank transfer (automatic),31.32,348.9,No,1,0,0,13-24
SYNTH_B3_008,Male,0,No,No,18,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,No,Electronic check,99.05,715.69,No,2,0,1,13-24
SYNTH_B3_009,Female,0,No,No,62,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,113.46,7075.88,No,5,0,1,49-72
SYNTH_B3_010,Male,0,No,No,60,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),50.36,2842.37,No,2,0,1,49-72
SYNTH_B3_011,Male,0,No,No,35,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No internet service,Two year,Yes,Credit card (automatic),27.22,984.28,No,1,0,1,25-48
SYNTH_B3_012,Female,1,Yes,Yes,0,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,35.61,5.77,Yes,2,1,1,0-12
SYNTH_B3_013,Female,1,Yes,No,33,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),91.91,5751.52,Yes,4,0,1,25-48
SYNTH_B3_014,Male,0,Yes,No,20,Yes,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,84.79,1002.21,No,4,0,1,13-24
SYNTH_B3_015,Female,0,No,No,6,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Two year,Yes,Electronic check,30.27,152.41,No,3,1,0,0-12
SYNTH_B3_016,Male,0,No,No,24,Yes,Yes,Fiber optic,No,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,116.72,4094.69,No,3,0,1,13-24
SYNTH_B3_017,Male,1,No,No,38,Yes,No,DSL,Yes,No,Yes,No,No,No,Two year,No,Electronic check,60.16,3270.03,No,2,0,1,25-48
SYNTH_B3_018,Female,0,No,No,1,Yes,No,Fiber optic,No,No internet service,Yes,No,No,No,Two year,Yes,Mailed check,23.3,56.42,Yes,1,1,1,0-12
SYNTH_B3_019,Male,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),109.94,5263.72,No,5,0,1,49-72
SYNTH_B3_020,Female,0,Yes,No,2,Yes,No,No,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,60.8,216.96,Yes,1,1,0,0-12
SYNTH_B3_021,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,No,No internet service,Yes,Yes,No,Month-to-month,No,Credit card (automatic),56.59,1358.01,No,3,0,1,13-24
SYNTH_B3_022,Male,0,No,No,19,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),88.13,2041.08,No,2,0,1,13-24
SYNTH_B3_023,Female,0,No,No,56,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),61.53,1939.9,No,3,0,1,49-72
SYNTH_B3_024,Female,0,No,No,57,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,104.92,6278.93,Yes,4,0,1,49-72
SYNTH_B3_025,Male,0,Yes,No,36,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),113.49,4437.7,No,4,0,1,25-48
SYNTH_B3_026,Male,1,No,No,62,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,96.74,6946.17,Yes,3,0,1,49-72
SYNTH_B3_027,Female,1,Yes,No,40,Yes,Yes,DSL,Yes,No,No internet service,No,No,No,Month-to-month,Yes,Electronic check,25.21,722.41,No,1,0,1,25-48
SYNTH_B3_028,Female,0,No,No,6,Yes,No,DSL,Yes,Yes,No,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),21.8,942.89,No,3,1,1,0-12
SYNTH_B3_029,Female,0,Yes,Yes,56,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,No internet service,No internet service,One year,No,Mailed check,50.37,2374.89,No,2,0,1,49-72
SYNTH_B3_030,Male,1,No,No,13,Yes,Yes,No,Yes,No,No internet service,Yes,No,No,Month-to-month,No,Electronic check,106.88,2156.06,Yes,2,0,0,13-24
SYNTH_B3_031,Female,0,Yes,No,66,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.11,4729.91,Yes,3,0,1,49-72
SYNTH_B3_032,Male,0,Yes,No,43,No,No,Fiber optic,No internet service,Yes,No internet service,No,No internet service,No internet service,Month-to-month,No,Electronic check,21.66,1130.1,No,1,0,1,25-48
SYNTH_B3_033,Female,0,Yes,No,3,Yes,Yes,Fiber optic,No internet service,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,115.75,3091.11,No,2,1,1,0-12
SYNTH_B3_034,Female,1,Yes,No,20,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,103.26,1024.36,Yes,2,0,1,13-24
SYNTH_B3_035,Female,1,No,No,59,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.52,411.06,No,3,0,1,49-72
SYNTH_B3_036,Male,0,Yes,Yes,51,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,No internet service,Two year,No,Bank transfer (automatic),49.75,3266.44,No,3,0,1,49-72
SYNTH_B3_037,Female,0,No,No,4,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No internet service,No internet service,One year,No,Electronic check,29.69,839.06,No,3,1,1,0-12
SYNTH_B3_038,Male,0,No,Yes,1,No,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,45.94,388.36,No,5,1,1,0-12
SYNTH_B3_039,Female,1,Yes,No,32,Yes,Yes,No,No,Yes,No,No,No,No internet service,One year,Yes,Mailed check,65.75,1758.68,No,1,0,0,25-48
