customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,num_addons,is_new_customer,has_internet,tenure_group
SYNTH_B4_000,Female,0,Yes,No,12,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No,No internet service,Two year,No,Bank transfer (automatic),32.55,603.84,No,2,1,1,0-12
SYNTH_B4_001,Female,0,Yes,No,0,Yes,Yes,No,No,Yes,No internet service,No,Yes,No,Month-to-month,No,Mailed check,51.11,70.46,Yes,2,1,0,0-12
SYNTH_B4_002,Male,0,No,No,27,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),93.01,2346.17,No,3,0,1,25-48
SYNTH_B4_003,Male,0,Yes,No,19,Yes,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,68.39,1930.16,No,3,0,1,13-24
SYNTH_B4_004,Male,0,Yes,No,19,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),90.36,1301.52,Yes,2,0,1,13-24
SYNTH_B4_005,Male,0,No,No,16,No,No,DSL,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),57.2,1656.73,No,1,0,1,13-24
SYNTH_B4_006,Male,0,No,No,0,Yes,Yes,Fiber optic,No,No,No internet service,No,No,No internet service,Month-to-month,Yes,Electronic check,74.77,460.78,No,0,1,1,0-12
SYNTH_B4_007,Male,1,Yes,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),19.99,177.24,No,0,0,0,25-48
SYNTH_B4_008,Female,1,No,No,44,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No,No,Month-to-month,Yes,Electronic check,36.69,813.2,Yes,1,0,1,25-48
SYNTH_B4_009,Male,1,No,No,14,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),106.27,2374.09,No,4,0,1,13-24
SYNTH_B4_010,Male,0,Yes,Yes,6,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,113.92,3896.69,Yes,3,1,1,0-12
SYNTH_B4_011,Female,0,No,No,0,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,117.48,253.3,Yes,3,1,1,0-12
SYNTH_B4_012,Male,0,Yes,No,68,Yes,Yes,DSL,Yes,No internet service,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,55.08,3493.96,No,2,0,1,49-72
SYNTH_B4_013,Female,0,No,No,51,Yes,No,Fiber optic,Yes,No,Yes,No internet service,No,Yes,Two year,No,Electronic check,85.73,1195.85,Yes,3,0,1,49-72
SYNTH_B4_014,Male,1,Yes,No,61,Yes,Yes,DSL,No internet service,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),105.99,5760.38,No,2,0,1,49-72
