customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,num_addons,is_new_customer,has_internet,tenure_group
SYNTH_B1_000,Female,0,No,No,71,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.43,5817.92,No,4,0,1,49-72
SYNTH_B1_001,Male,0,No,Yes,20,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,No,Mailed check,29.4,190.44,No,2,0,1,13-24
SYNTH_B1_002,Male,0,Yes,Yes,0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.5,327.9,Yes,0,1,1,0-12
SYNTH_B1_003,Male,1,No,No,68,No,Yes,Fiber optic,No internet service,No internet service,No,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),46.73,6291.43,No,2,0,1,49-72
SYNTH_B1_004,Female,1,No,No,66,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),116.71,7511.71,Yes,4,0,1,49-72
SYNTH_B1_005,Female,0,No,Yes,71,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),25.45,3304.36,No,0,0,1,49-72
SYNTH_B1_006,Female,0,Yes,No,12,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,63.31,360.3,Yes,1,1,1,0-12
SYNTH_B1_007,Female,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,102.88,2327.86,Yes,0,1,1,0-12
SYNTH_B1_008,Female,0,No,No,1,No,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,108.72,1791.11,No,3,1,1,0-12
SYNTH_B1_009,Male,1,Yes,No,5,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),118.75,6947.49,No,3,1,1,0-12
SYNTH_B1_010,Female,0,No,No,63,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),118.75,8023.93,Yes,3,0,1,49-72
SYNTH_B1_011,Female,0,Yes,No,1,Yes,Yes,Fiber optic,No,No internet service,No,No,No internet service,No internet service,Month-to-month,No,Mailed check,71.9,160.24,Yes,0,1,1,0-12
SYNTH_B1_012,Female,0,Yes,No,65,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),28.38,3159.23,No,1,0,1,49-72
SYNTH_B1_013,Male,0,No,Yes,0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,67.96,141.82,No,0,1,1,0-12
SYNTH_B1_014,Male,0,Yes,No,0,Yes,No,Fiber optic,Yes,No,No,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),27.46,9.43,Yes,1,1,1,0-12
SYNTH_B1_015,Female,0,No,No,4,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.99,2401.67,No,2,1,1,0-12
SYNTH_B1_016,Male,0,No,No,60,Yes,No,No,Yes,No internet service,No,Yes,No,No internet service,Two year,Yes,Electronic check,28.87,3335.77,Yes,2,0,0,49-72
SYNTH_B1_017,Female,0,Yes,No,2,No,Yes,No,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,106.85,2263.83,Yes,2,1,0,0-12
SYNTH_B1_018,Male,0,Yes,No,41,Yes,Yes,No,No internet service,No internet service,No,No internet service,No internet service,Yes,Two year,No,Mailed check,50.61,1240.85,No,1,0,0,25-48
SYNTH_B1_019,Male,0,No,No,4,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),24.19,97.06,No,2,1,1,0-12
SYNTH_B1_020,Female,0,Yes,Yes,72,Yes,Yes,No,Yes,No internet service,Yes,No internet service,No,Yes,One year,No,Bank transfer (automatic),109.27,7950.3,No,3,0,0,49-72
SYNTH_B1_021,Female,0,No,Yes,1,Yes,No,DSL,No internet service,No,No internet service,No,No,No internet service,One year,Yes,Electronic check,23.76,8.97,Yes,0,1,1,0-12
SYNTH_B1_022,Male,1,No,No,3,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.68,9.28,No,2,1,1,0-12
SYNTH_B1_023,Male,0,No,Yes,2,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,18.4,0.42,No,1,1,1,0-12
SYNTH_B1_024,Female,0,No,No,7,Yes,No,DSL,No internet service,No internet service,No,Yes,No internet service,No internet service,One year,Yes,Mailed check,19.92,34.87,Yes,1,1,1,0-12
SYNTH_B1_025,Female,1,No,No,62,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,78.06,3082.87,Yes,3,0,1,49-72
SYNTH_B1_026,Male,0,No,Yes,56,Yes,No,Fiber optic,No internet service,Yes,No,No,No,No,One year,Yes,Credit card (automatic),39.94,3562.62,No,1,0,1,49-72
SYNTH_B1_027,Male,0,No,No,7,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,109.37,1184.48,No,3,1,1,0-12
SYNTH_B1_028,Male,0,Yes,Yes,69,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,117.94,7959.71,Yes,3,0,1,49-72
SYNTH_B1_029,Female,0,No,No,45,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),35.5,1909.15,Yes,2,0,1,25-48
SYNTH_B1_030,Male,0,Yes,Yes,54,Yes,No,No,Yes,No internet service,No,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.69,915.33,No,1,0,0,49-72
SYNTH_B1_031,Male,1,Yes,No,0,Yes,No,DSL,No,No,No,No,No internet service,No internet service,Month-to-month,No,Electronic check,21.53,3.73,No,0,1,1,0-12
