customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,num_addons,is_new_customer,has_internet,tenure_group
SYNTH_B2_000,Male,0,Yes,No,50,Yes,No,No,Yes,No internet service,No internet service,Yes,No internet service,No,One year,No,Mailed check,26.14,1949.7,No,2,0,0,49-72
SYNTH_B2_001,Female,0,No,No,48,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),116.46,3556.75,Yes,4,0,1,25-48
SYNTH_B2_002,Female,0,Yes,No,16,Yes,Yes,No,Yes,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,No,Electronic check,24.25,17.52,Yes,1,0,0,13-24
SYNTH_B2_003,Male,0,Yes,No,71,Yes,Yes,DSL,No,No,No,No internet service,Yes,No,One year,Yes,Mailed check,104.47,6476.08,No,1,0,1,49-72
SYNTH_B2_004,Female,0,No,No,31,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,No,No,Month-to-month,No,Electronic check,55.54,3263.51,No,3,0,1,25-48
SYNTH_B2_005,Female,0,Yes,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.34,1418.57,No,0,0,0,49-72
SYNTH_B2_006,Male,1,No,No,16,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,107.2,3106.68,No,2,0,1,13-24
SYNTH_B2_007,Male,0,No,No,6,Yes,Yes,No,Yes,No,No,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),36.53,159.2,No,1,1,0,0-12
SYNTH_B2_008,Female,0,Yes,Yes,53,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,No,Mailed check,68.29,1922.27,No,3,0,1,49-72
SYNTH_B2_009,Female,0,No,No,0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,26.16,11.26,No,0,1,1,0-12
SYNTH_B2_010,Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No internet service,No,One year,No,Electronic check,40.72,7393.43,No,3,0,1,49-72
SYNTH_B2_011,Male,0,Yes,No,46,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,113.06,4926.29,No,3,0,1,25-48
SYNTH_B2_012,Male,1,Yes,No,39,Yes,Yes,No,No,Yes,No,Yes,No,No internet service,Two year,No,Bank transfer (automatic),63.6,3368.27,No,2,0,0,25-48
SYNTH_B2_013,Female,0,Yes,No,23,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),85.78,4957.31,No,3,0,1,13-24
